Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90;is_attacker;cluster;top_score
Ousmane Dembélé;fr FRA;FW;Paris S-G;fr Ligue 1;27.0;1997.0;29;20;1730;19.2;21;6;27;20;1;1;1;0;16.6;15.8;8.2;24.0;127;137;252;1.09;0.31;1.4;1.04;1.35;0.86;0.43;1.29;0.82;1.25;1;1;2.841276942995192
Mateo Retegui;it ITA;FW;Atalanta;it Serie A;25.0;1999.0;36;32;2383;26.5;25;8;33;21;4;5;3;0;18.9;14.9;4.9;19.8;21;46;199;0.94;0.3;1.25;0.79;1.1;0.71;0.18;0.9;0.56;0.75;1;1;1.9368572898708074
Bradley Barcola;fr FRA;FW;Paris S-G;fr Ligue 1;21.0;2002.0;34;27;2181;24.2;14;10;24;14;0;0;2;0;13.4;13.4;10.1;23.5;137;96;374;0.58;0.41;0.99;0.58;0.99;0.55;0.42;0.97;0.55;0.97;1;1;1.6864167748814545
Omar Marmoush;eg EGY;FW;Eint Frankfurt;de Bundesliga;25.0;1999.0;17;17;1448;16.1;15;9;24;13;2;2;2;0;8.8;7.3;6.2;13.5;73;50;125;0.93;0.56;1.49;0.81;1.37;0.55;0.39;0.94;0.45;0.84;1;1;1.5850061993392635
Alexander Isak;se SWE;FW;Newcastle Utd;eng Premier League;24.0;1999.0;34;34;2756;30.6;23;6;29;19;4;4;1;0;20.3;17.2;4.3;21.6;83;88;217;0.75;0.2;0.95;0.62;0.82;0.66;0.14;0.81;0.56;0.7;1;1;1.522241023565074
Serhou Guirassy;gn GUI;FW;Dortmund;de Bundesliga;28.0;1996.0;30;29;2598;28.9;21;4;25;18;3;4;4;0;22.7;19.6;3.9;23.5;25;43;128;0.73;0.14;0.87;0.62;0.76;0.79;0.14;0.92;0.68;0.81;1;1;1.5004418603190837
Hugo Ekitike;fr FRA;FW;Eint Frankfurt;de Bundesliga;22.0;2002.0;33;31;2563;28.5;15;8;23;14;1;3;1;0;21.6;19.3;6.8;26.0;93;53;215;0.53;0.28;0.81;0.49;0.77;0.76;0.24;0.99;0.68;0.91;1;1;1.472220312642968
Leroy Sané;de GER;FW;Bayern Munich;de Bundesliga;28.0;1996.0;30;17;1637;18.2;11;5;16;11;0;0;2;0;10.2;10.2;5.5;15.8;75;64;266;0.6;0.27;0.88;0.6;0.88;0.56;0.3;0.87;0.56;0.87;1;1;1.3490207062485098
Georges Mikautadze;ge GEO;FW;Lyon;fr Ligue 1;23.0;2000.0;34;13;1449;16.1;11;6;17;8;3;4;2;0;10.3;7.0;4.3;11.4;37;54;140;0.68;0.37;1.06;0.5;0.87;0.64;0.27;0.91;0.44;0.71;1;1;1.1534651956930093
Riccardo Orsolini;it ITA;FW;Bologna;it Serie A;27.0;1997.0;30;23;1878;20.9;15;4;19;12;3;3;2;0;10.1;7.8;3.7;11.5;61;69;186;0.72;0.19;0.91;0.58;0.77;0.49;0.18;0.66;0.37;0.55;1;1;0.9412262937266955
Yoane Wissa;cd COD;FW;Brentford;eng Premier League;27.0;1996.0;35;34;2919;32.4;19;4;23;19;0;0;5;0;18.5;18.5;2.6;21.1;60;67;154;0.59;0.12;0.71;0.59;0.71;0.57;0.08;0.65;0.57;0.65;1;1;0.9267329830030426
Luis Díaz;co COL;FW;Liverpool;eng Premier League;27.0;1997.0;36;28;2399;26.7;13;5;18;13;0;0;2;0;12.0;12.0;5.0;17.1;108;110;293;0.49;0.19;0.68;0.49;0.68;0.45;0.19;0.64;0.45;0.64;1;1;0.9008293265575172
Ollie Watkins;eng ENG;FW;Aston Villa;eng Premier League;28.0;1995.0;38;31;2598;28.9;16;8;24;14;2;2;2;0;15.3;13.8;3.3;17.1;55;31;165;0.55;0.28;0.83;0.48;0.76;0.53;0.12;0.65;0.48;0.59;1;1;0.8504723787432799
Jonathan David;ca CAN;FW;Lille;fr Ligue 1;24.0;2000.0;32;28;2554;28.4;16;5;21;10;6;7;4;0;16.2;10.7;4.4;15.1;40;65;184;0.56;0.18;0.74;0.35;0.53;0.57;0.16;0.73;0.38;0.53;1;1;0.7603668146805855
Lamine Yamal;es ESP;FW;Barcelona;es La Liga;17.0;2007.0;35;31;2856;31.7;9;13;22;9;0;0;3;0;9.8;9.8;13.9;23.8;181;160;433;0.28;0.41;0.69;0.28;0.69;0.31;0.44;0.75;0.31;0.75;1;1;0.7572504351305571
